A,B,,C,D,E,F,G,H
1,-15.8614065383264,,0,-20.2301733526583,0,-20.2301733526583,0,-20.2301733526583
0,1E+308,,0,-20.2289961165035,0,-20.2289961165035,0,-20.2289961165035
0,-15.859338473188,,0,-20.2278188803488,0,-20.2278188803488,0,-20.2278188803488
1,-15.859338473188,,0,-20.226641644194,0,-20.226641644194,0,-20.226641644194
0,1E+308,,0,-20.2254644080393,0,-20.2254644080393,0,-20.2254644080393
0,-15.8509301557174,,0,-20.2242871718845,0,-20.2242871718845,0,-20.2242871718845
1,-15.8509301557174,,0,-20.2231099357298,0,-20.2231099357298,0,-20.2231099357298
0,1E+308,,0,-20.221932699575,0,-20.221932699575,0,-20.221932699575
0,-15.8475287327924,,0,-20.2207554634203,0,-20.2207554634203,0,-20.2207554634203
1,-15.8475287327924,,0,-20.2195782272655,0,-20.2195782272655,0,-20.2195782272655
0,1E+308,,0,-20.2184009911108,0,-20.2184009911108,0,-20.2184009911108
0,-15.8465219116066,,0,-20.217223754956,0,-20.217223754956,0,-20.217223754956
1,-15.8465219116066,,0,-20.2160465188013,0,-20.2160465188013,0,-20.2160465188013
0,1E+308,,0,-20.2148692826465,0,-20.2148692826465,0,-20.2148692826465
0,-15.8398551226736,,0,-20.2136920464918,0,-20.2136920464918,0,-20.2136920464918
1,-15.8398551226736,,0,-20.212514810337,0,-20.212514810337,0,-20.212514810337
0,1E+308,,0,-20.2113375741823,0,-20.2113375741823,0,-20.2113375741823
0,-15.8362904314482,,0,-20.2101603380275,0,-20.2101603380275,0,-20.2101603380275
1,-15.8362904314482,,0,-20.2089831018728,0,-20.2089831018728,0,-20.2089831018728
0,1E+308,,0,-20.2078058657181,0,-20.2078058657181,0,-20.2078058657181
0,-15.8268752927918,,0,-20.2066286295633,0,-20.2066286295633,0,-20.2066286295633
1,-15.8268752927918,,0,-20.2054513934085,0,-20.2054513934085,0,-20.2054513934085
0,1E+308,,0,-20.2042741572538,0,-20.2042741572538,0,-20.2042741572538
0,-15.7454316222756,,0,-20.203096921099,0,-20.203096921099,0,-20.203096921099
1,-15.7454316222756,,0,-20.2019196849443,0,-20.2019196849443,0,-20.2019196849443
0,1E+308,,0,-20.2007424487896,0,-20.2007424487896,0,-20.2007424487896
0,-15.7430642319198,,0,-20.1995652126348,0,-20.1995652126348,0,-20.1995652126348
1,-15.7430642319198,,0,-20.1983879764801,0,-20.1983879764801,0,-20.1983879764801
0,1E+308,,0,-20.1972107403253,0,-20.1972107403253,0,-20.1972107403253
0,-15.7403430935798,,0,-20.1960335041706,0,-20.1960335041706,0,-20.1960335041706
